iter	Passed	Remaining
0	51	51095
1	51	25707
2	51	17243
3	52	13010
4	52	10467
5	52	8775
6	53	7573
7	53	6660
8	54	5952
9	54	5385
10	54	4921
11	55	4535
12	55	4209
13	55	3929
14	56	3685
15	56	3472
16	56	3285
17	57	3120
18	57	2978
19	58	2844
20	58	2724
21	58	2613
22	59	2512
23	59	2419
24	59	2333
25	60	2253
26	60	2180
27	60	2113
28	61	2049
29	61	1990
30	61	1936
31	62	1883
32	62	1838
33	63	1792
34	63	1748
35	63	1707
36	64	1669
37	64	1632
38	64	1594
39	64	1559
40	65	1528
41	65	1498
42	66	1469
43	66	1442
44	66	1416
45	67	1390
46	67	1366
47	67	1343
48	68	1321
49	68	1303
50	68	1282
51	69	1263
52	69	1244
53	69	1226
54	70	1210
55	70	1194
56	71	1177
57	71	1161
58	71	1146
59	72	1131
60	72	1117
61	72	1103
62	73	1089
63	73	1076
64	74	1064
65	74	1052
66	74	1040
67	75	1028
68	75	1017
69	75	1005
70	76	995
71	76	984
72	76	974
73	77	964
74	77	954
75	77	945
76	78	936
77	78	927
78	78	918
79	79	910
80	79	901
81	79	893
82	80	885
83	80	877
84	80	871
85	81	864
86	81	856
87	81	849
88	82	842
89	82	835
90	83	829
91	83	822
92	83	816
93	84	810
94	84	804
95	84	798
96	85	792
97	85	786
98	85	780
99	86	775
100	86	769
101	87	766
102	87	761
103	87	755
104	88	750
105	88	745
106	88	740
107	89	736
108	89	731
109	89	726
110	90	721
111	90	717
112	90	713
113	91	709
114	91	705
115	91	700
116	92	697
117	92	692
118	93	688
119	93	684
120	93	680
121	94	676
122	94	672
123	94	669
124	95	665
125	95	661
126	95	658
127	96	654
128	96	651
129	96	648
130	97	644
131	97	641
132	97	638
133	98	635
134	98	632
135	99	629
136	99	626
137	99	622
138	100	619
139	100	616
140	100	613
141	101	610
142	101	607
143	101	605
144	102	602
145	102	599
146	102	596
147	103	593
148	103	591
149	103	588
150	104	585
151	104	583
152	104	580
153	105	578
154	105	575
155	105	572
156	106	570
157	106	567
158	106	565
159	107	563
160	107	560
161	107	558
162	108	556
163	108	553
164	108	551
165	109	549
166	109	547
167	110	544
168	110	542
169	110	540
170	111	538
171	111	536
172	111	534
173	112	532
174	112	530
