id,breed,horse_age,horse_gender,feed_keywords,temp_max,temp_min,precipitation,location,colic_keywords,feed_count,horse_keeping,age_group,risk_combination,is_colic
1,Oldenburger,24,gelding,straw,28.2,14.4,0.0,Hamburg,impaction,1,stable,21+,gelding_stable,True
2,Haflinger,11,stallion,straw,17.6,14.6,11.4,Berlin,impaction,1,stable,11-15,stallion_stable,True
3,Islandpferd,14,gelding,hay,11.2,5.8,0.0,Cologne,impaction,1,stable,11-15,gelding_stable,True
4,Haflinger,18,stallion,"corn, silage",15.3,11.9,0.4,Hamburg,impaction,2,pasture,16-20,stallion_pasture,True
5,Appaloosa,12,stallion,straw,11.0,6.3,5.4,Hamburg,spasmodic,1,stable,11-15,stallion_stable,True
6,Oldenburger,24,stallion,silage,26.2,18.4,0.4,Cologne,displacement,1,stable,21+,stallion_stable,True
7,Arabisches Vollblut,17,stallion,silage,29.9,18.8,1.2,Hamburg,impaction,1,paddock,16-20,stallion_paddock,True
8,Württemberger,24,gelding,silage,26.0,13.7,0.0,Leipzig,displacement,1,stable,21+,gelding_stable,True
9,Trakehner,18,gelding,haylage,29.4,20.7,9.3,Cologne,spasmodic,1,stable,16-20,gelding_stable,True
10,Appaloosa,21,mare,"silage, straw",28.4,9.7,0.0,Nuremberg,impaction,2,pasture,21+,mare_pasture,True
11,Appaloosa,12,stallion,straw,5.1,2.2,7.7,Frankfurt,displacement,1,pasture,11-15,stallion_pasture,True
12,Oldenburger,27,gelding,pellets,17.8,3.6,0.0,Hamburg,sand,1,paddock,21+,gelding_paddock,True
13,Arabisches Vollblut,19,mare,hay,15.4,5.1,0.0,Berlin,gas,1,stable,16-20,mare_stable,True
14,Hannoveraner,20,gelding,"silage, straw",26.4,16.8,1.8,Berlin,impaction,2,stable,16-20,gelding_stable,True
15,Englische Vollblüter,5,gelding,"hay, silage",24.2,16.9,14.8,Frankfurt,spasmodic,2,paddock,0-5,gelding_paddock,True
16,Hannoveraner,23,mare,"haylage, silage",14.0,7.3,6.1,Frankfurt,spasmodic,2,pasture,21+,mare_pasture,True
17,Andalusier,21,mare,"corn, fresh grass",0.7,-3.1,4.9,Nuremberg,gas,2,pasture,21+,mare_pasture,True
18,American Quarter Horse,6,mare,"pellets, straw",2.7,-1.3,0.4,Munich,spasmodic,2,stable,6-10,mare_stable,True
19,Trakehner,4,mare,corn,12.1,5.6,0.3,Hanover,spasmodic,1,stable,0-5,mare_stable,True
20,Oldenburger,26,mare,hay,11.0,4.7,0.2,Stuttgart,spasmodic,1,stable,21+,mare_stable,True
21,Friese,1,mare,"haylage, straw",23.4,10.5,0.0,Nuremberg,torsion,2,pasture,0-5,mare_pasture,True
22,Appaloosa,25,gelding,silage,26.6,19.9,15.1,Nuremberg,gas,1,pasture,21+,gelding_pasture,True
23,Andalusier,8,gelding,corn,3.5,-4.6,0.0,Munich,displacement,1,stable,6-10,gelding_stable,True
24,Lipizzaner,25,stallion,straw,16.1,7.3,13.6,Hanover,impaction,1,stable,21+,stallion_stable,True
25,Lipizzaner,6,mare,"haylage, silage",14.7,9.6,4.7,Dresden,displacement,2,stable,6-10,mare_stable,True
26,Appaloosa,12,stallion,"hay, straw",30.9,21.2,0.1,Berlin,spasmodic,2,paddock,11-15,stallion_paddock,True
27,Arabisches Vollblut,13,gelding,straw,7.1,1.2,0.0,Frankfurt,gas,1,stable,11-15,gelding_stable,True
28,Haflinger,13,mare,haylage,17.3,9.4,0.1,Hamburg,impaction,1,paddock,11-15,mare_paddock,True
29,Württemberger,25,mare,silage,23.5,15.0,0.2,Dresden,gas,1,pasture,21+,mare_pasture,True
30,Appaloosa,4,stallion,haylage,5.2,1.1,1.8,Dresden,displacement,1,stable,0-5,stallion_stable,True
31,Appaloosa,15,mare,straw,19.5,14.4,0.2,Leipzig,spasmodic,1,stable,11-15,mare_stable,True
32,Englische Vollblüter,4,mare,straw,28.8,19.4,0.0,Nuremberg,displacement,1,pasture,0-5,mare_pasture,True
33,Holsteiner,19,stallion,hay,21.1,16.5,9.2,Nuremberg,gas,1,pasture,16-20,stallion_pasture,True
34,Shetlandpony,6,gelding,"hay, pellets",25.9,19.9,16.2,Nuremberg,torsion,2,stable,6-10,gelding_stable,True
35,Shetlandpony,1,mare,straw,2.1,-1.1,8.4,Munich,spasmodic,1,stable,0-5,mare_stable,True
36,Lipizzaner,16,mare,haylage,30.0,20.6,1.1,Hanover,spasmodic,1,pasture,16-20,mare_pasture,True
37,Appaloosa,6,stallion,haylage,4.7,-1.2,0.0,Leipzig,gas,1,stable,6-10,stallion_stable,True
38,American Quarter Horse,4,mare,"haylage, silage",23.9,15.9,0.0,Leipzig,displacement,2,stable,0-5,mare_stable,True
39,Lipizzaner,6,stallion,"silage, straw",22.1,15.7,0.5,Dresden,gas,2,pasture,6-10,stallion_pasture,True
40,Haflinger,25,stallion,straw,16.0,7.9,0.0,Cologne,impaction,1,stable,21+,stallion_stable,True
41,Englische Vollblüter,30,mare,straw,16.6,5.0,3.5,Hanover,impaction,1,stable,21+,mare_stable,True
42,Deutsches Reitpony,19,gelding,haylage,3.0,0.5,4.1,Berlin,spasmodic,1,paddock,16-20,gelding_paddock,True
43,Paint Horse,26,mare,silage,11.2,-3.0,0.0,Hamburg,impaction,1,pasture,21+,mare_pasture,True
44,Islandpferd,30,stallion,"hay, pellets",7.3,-0.1,2.5,Leipzig,gas,2,stable,21+,stallion_stable,True
45,Trakehner,6,gelding,haylage,7.8,1.8,3.0,Munich,impaction,1,stable,6-10,gelding_stable,True
46,Westfale,10,mare,straw,7.2,3.0,4.0,Hamburg,gas,1,stable,6-10,mare_stable,True
47,Welsh Pony,2,stallion,"silage, straw",9.5,3.0,1.1,Leipzig,displacement,2,stable,0-5,stallion_stable,True
48,Englische Vollblüter,1,stallion,silage,22.8,13.8,1.2,Munich,spasmodic,1,pasture,0-5,stallion_pasture,True
49,Islandpferd,2,stallion,"haylage, pellets",14.8,6.1,1.0,Frankfurt,impaction,2,stable,0-5,stallion_stable,True
50,Holsteiner,14,stallion,pellets,10.3,4.3,0.0,Cologne,spasmodic,1,pasture,11-15,stallion_pasture,True
51,Islandpferd,29,mare,haylage,19.4,5.0,0.0,Frankfurt,sand,1,paddock,21+,mare_paddock,True
52,Andalusier,22,mare,haylage,5.5,-5.0,0.0,Nuremberg,gas,1,stable,21+,mare_stable,True
53,Deutsches Reitpony,25,stallion,haylage,-2.9,-5.4,8.1,Nuremberg,impaction,1,stable,21+,stallion_stable,True
54,Islandpferd,14,gelding,silage,26.0,13.7,0.0,Leipzig,displacement,1,stable,11-15,gelding_stable,True
55,Westfale,13,stallion,"haylage, silage",11.5,-0.3,0.0,Nuremberg,displacement,2,stable,11-15,stallion_stable,True
56,Paint Horse,11,gelding,haylage,14.1,-0.6,0.0,Frankfurt,spasmodic,1,paddock,11-15,gelding_paddock,True
57,Westfale,3,mare,"pellets, silage",26.8,12.3,0.0,Munich,impaction,2,paddock,0-5,mare_paddock,True
58,American Quarter Horse,16,mare,pellets,3.7,-4.6,0.1,Berlin,displacement,1,stable,16-20,mare_stable,True
59,American Quarter Horse,14,mare,"corn, straw",26.7,14.5,0.0,Leipzig,spasmodic,2,stable,11-15,mare_stable,True
60,Welsh Pony,26,mare,pellets,6.7,4.1,0.0,Hamburg,impaction,1,stable,21+,mare_stable,True
61,American Quarter Horse,9,stallion,haylage,-3.3,-11.9,0.9,Berlin,impaction,1,stable,6-10,stallion_stable,True
62,American Quarter Horse,30,stallion,pellets,28.3,17.4,0.0,Cologne,gas,1,paddock,21+,stallion_paddock,True
63,Deutsches Reitpony,5,gelding,"haylage, silage",24.9,17.2,1.0,Leipzig,spasmodic,2,pasture,0-5,gelding_pasture,True
64,Andalusier,5,mare,silage,21.2,8.4,0.0,Hanover,displacement,1,stable,0-5,mare_stable,True
65,Holsteiner,3,mare,silage,27.8,16.8,0.0,Nuremberg,impaction,1,paddock,0-5,mare_paddock,True
66,Welsh Pony,1,mare,silage,12.4,7.6,5.1,Cologne,displacement,1,stable,0-5,mare_stable,True
67,Westfale,14,mare,"haylage, pellets",17.2,9.7,1.1,Dresden,spasmodic,2,pasture,11-15,mare_pasture,True
68,Arabisches Vollblut,1,gelding,hay,18.8,13.5,1.4,Hamburg,displacement,1,stable,0-5,gelding_stable,True
69,Hannoveraner,11,gelding,fresh grass,32.7,23.1,3.6,Hanover,gas,1,pasture,11-15,gelding_pasture,True
