date,location,horse_age,horse_gender,colic_keywords,weather_keywords,feed_keywords,weather_count,feed_count
2021-06-29,Nuremberg,6,female,,,,0,0
2022-04-11,Nuremberg,30,female,,,,0,0
2021-08-13,Munich,5,male,"gas, sand",,,0,0
2023-10-13,Berlin,29,gelding,"spasmodic, torsion",,,0,0
2023-03-29,Cologne,20,male,gas,,,0,0
2023-05-02,Nuremberg,26,male,,,,0,0
2020-03-19,Nuremberg,21,female,"displacement, torsion",,,0,0
2023-04-27,Hamburg,1,gelding,"gas, impaction",,,0,0
2022-12-06,Stuttgart,17,male,impaction,,,0,0
2021-04-07,Cologne,15,male,impaction,,,0,0
2023-06-22,Leipzig,23,gelding,spasmodic,,,0,0
2022-11-08,Munich,30,gelding,displacement,,,0,0
2020-11-25,Nuremberg,21,male,gas,,,0,0
2021-10-20,Cologne,5,gelding,spasmodic,,,0,0
2020-08-10,Hamburg,26,male,,,,0,0
2020-07-04,Hanover,25,gelding,,,,0,0
2022-10-08,Nuremberg,4,female,spasmodic,,,0,0
2020-10-13,Cologne,16,gelding,"gas, impaction",,,0,0
2020-05-05,Dresden,14,female,"impaction, spasmodic",,,0,0
2020-02-06,Leipzig,17,gelding,,,,0,0
2022-03-05,Cologne,2,male,,,,0,0
2020-08-06,Nuremberg,19,gelding,,,,0,0
2020-10-20,Hamburg,2,gelding,,,,0,0
2020-10-09,Leipzig,24,male,,,,0,0
2022-09-07,Dresden,29,male,sand,,,0,0
2022-11-11,Cologne,9,female,sand,,,0,0
2022-08-22,Nuremberg,14,male,displacement,,,0,0
2023-10-29,Stuttgart,9,female,displacement,,,0,0
2020-08-03,Stuttgart,9,male,impaction,,,0,0
2021-04-23,Nuremberg,29,male,,,,0,0
2021-10-20,Munich,21,gelding,,,,0,0
2022-04-16,Stuttgart,19,gelding,,,,0,0
2021-01-09,Munich,14,gelding,"displacement, impaction",,,0,0
2022-03-27,Cologne,11,male,spasmodic,,,0,0
2023-11-07,Leipzig,1,female,spasmodic,,,0,0
2020-11-27,Berlin,22,female,,,,0,0
2020-02-15,Hamburg,15,female,torsion,,,0,0
2020-03-07,Hamburg,9,female,spasmodic,,,0,0
2021-01-10,Cologne,21,male,displacement,,,0,0
2022-04-17,Dresden,4,male,,,,0,0
2022-11-14,Dresden,9,gelding,sand,,,0,0
2022-12-27,Dresden,25,gelding,displacement,,,0,0
2020-09-18,Frankfurt,25,gelding,"gas, spasmodic",,,0,0
2021-05-11,Munich,30,gelding,displacement,,,0,0
2021-02-27,Frankfurt,10,female,displacement,,,0,0
2020-02-10,Hanover,17,female,,,,0,0
2023-04-02,Hamburg,23,gelding,,,,0,0
2021-01-30,Berlin,22,gelding,"displacement, sand",,,0,0
2023-09-14,Cologne,25,male,spasmodic,,,0,0
2022-05-22,Stuttgart,17,male,spasmodic,,,0,0
2020-07-05,Nuremberg,13,gelding,,,,0,0
2022-03-24,Hanover,19,gelding,displacement,,,0,0
2023-11-30,Cologne,4,gelding,displacement,,,0,0
2022-01-16,Hamburg,4,gelding,,,,0,0
2021-01-30,Hanover,30,male,spasmodic,,,0,0
2022-04-21,Hanover,5,gelding,spasmodic,,,0,0
2023-07-20,Munich,12,gelding,gas,,,0,0
